p_id,name,price,colour,brand
19265068,Baisacrafts Women Magenta Floral Printed Pure Cotton Kurta Set With Dupatta,5499.0,Magenta,Baisacrafts
15798294,Indo Era Women Pink Floral Embroidered Kurta with Palazzos & With Dupatta,6199.0,Pink,Indo Era
17193238,KALINI Women Green Floral Printed Gotta Patti Kurta with Sharara,2499.0,Green,KALINI
13523706,Varanga Women Black & White Geometric Printed Bell Sleeves Kurta,1799.0,Black,Varanga
15271046,AHIKA Women Pink & White Bandhani Print Pure Cotton Kurta with Trousers & Dupatta,4247.0,Pink,AHIKA
17487034,Libas Women Blue Floral Printed Pure Cotton Kurta with Trousers & With Dupatta,2999.0,Blue,Libas
18720202,FASHOR Women Purple Ethnic Motifs Printed Mirror Work Kurta,2699.0,Purple,FASHOR
15335772,Vishudh Women Yellow Striped Regular Pure Cotton Kurta with Palazzos,2199.0,Yellow,Vishudh
13771272,Nayo Women Green Printed Kurta with Trousers & Dupatta,3499.0,Green,Nayo
12122358,Indo Era Women Black & Teal Blue Yoke Design Kurta with Palazzos & Dupatta,2799.0,Black,Indo Era
19041030,SheWill Women Purple Sequinned Kurti with Trousers,8649.0,Purple,SheWill
2322792,Anouk Women Blue & White Printed Straight Kurta,1799.0,Blue,Anouk
7334039,Vishudh Women White & Pink Printed A-Line Kurta,1799.0,White,Vishudh
17408530,Varanga Women Navy Blue & Red Ethnic Motifs Printed Kurta,2999.0,Navy Blue,Varanga
14854802,Anouk Women Navy Blue Floral Yoke Design Thread Work Straight Kurta,1299.0,Navy Blue,Anouk
16907860,Libas Women Peach Pink Ethnic Motifs Print Flared Sleeves Laces Pure Cotton Straight Kurta,1399.0,Peach,Libas
18847276,PRENEA Women Blue Floral Embroidered Pleated Kurti with Palazzos & With Dupatta,3999.0,Blue,PRENEA
14036824,Yuris Women Grey & White Pure Cotton Printed Kurta with Palazzos & Dupatta,4299.0,Grey,Yuris
13940072,W Women Green Geometric Printed Kurta,3599.0,Green,W
3084524,HERE&NOW Women Red Printed A-Line Kurta,1799.0,Red,HERE&NOW
12873874,Anubhutee Women Pink & White Printed Kurta with Trousers & Dupatta,3999.0,Pink,Anubhutee
18929144,Vishudh Women Purple Ethnic Straight Kurta with Trousers & With Dupatta,2349.0,Purple,Vishudh
16926908,FASHION DEPTH Women Black Ethnic Motifs Embroidered Kurta,1999.0,Black,FASHION DEPTH
17766280,HERE&NOW Women Mustard Yellow Bandhani Print Kurta with Sharara & Dupatta,3999.0,Mustard,HERE&NOW
13727098,W Women Black Quirky Printed Kurta,1799.0,Black,W
18753060,Globus Women Blue & aquifer Thread Work Kurta,1599.0,Blue,Globus
14023484,Vishudh Women Lime Green Floral Printed Floral Kurta,1249.0,Lime Green,Vishudh
17923636,Biba Women Teal Green Floral Printed Kurta with Salwar,2799.0,Teal,Biba
6613532,Vishudh Women Navy Blue Yoke Design Straight Kurta,1699.0,Navy Blue,Vishudh
19043664,Charu Women Peach-Coloured Yoke Design Kurta,3199.0,Peach,Charu
13652412,Ishin Women Brown Embroidered Kurti with Sharara & Dupatta,7399.0,Brown,Ishin
17606426,Varanga Women Pink Ethnic Motifs A-line Kurta with Trousers &  Dupatta,6999.0,Pink,Varanga
17411096,Nayo Women Blue & Maroon Paisley Printed Cotton Kurta,1299.0,Blue,Nayo
15427372,Anouk Women Blue Kurta with Yarn Dyed Trousers,2099.0,Blue,Anouk
16931152,W Women White Geometric Printed Thread Work Kurta,1899.0,White,W
14925594,Anouk Women Purple & White Ethnic Motifs Printed Cotton Kurta,999.0,Purple,Anouk
16505402,KALINI Women Pink Bandhani Printed Anarkali Kurta,1999.0,Pink,KALINI
15639862,Vishudh Women Yellow & Off White Ethnic Motifs Printed A-Line Kurta with Jacket,3999.0,Yellow,Vishudh
19129450,Meeranshi Women Navy Blue Ethnic Motifs Panelled Kurta with Trousers & With Dupatta,4499.0,Navy Blue,Meeranshi
11530828,anayna Women Beige & Pink Screen Print Straight Kurta,1660.0,Beige,anayna
18859188,Melange by Lifestyle Women Beige Keyhole Neck Flared Sleeves Kurta,999.0,Beige,Melange by Lifestyle
15026486,W Women Green & Golden Regular Sequinned Kurta with Trousers & With Dupatta,3999.0,Green,W
10513948,Anubhutee Women Mustard Yellow & Brown Screen Printed Straight Kurta,1999.0,Mustard,Anubhutee
15090310,FASHION DEPTH Women Green & Yellow Floral Yoke Design Thread Work Straight Kurta,1999.0,Green,FASHION DEPTH
9252969,anayna Women Pink Printed Straight Kurta,1599.0,Pink,anayna
14346054,Nayo Women Navy Blue Ethnic Motifs Printed Indigo Kurta,1299.0,Navy Blue,Nayo
10317841,Jaipur Kurti Women Mustard Yellow & Grey Yoke Design Kurta with Palazzos & Dupatta,4449.0,Mustard,Jaipur Kurti
18929148,Vishudh Women Turquoise Blue Pleated Kurti with Trouser & With Dupatta,2349.0,Turquoise Blue,Vishudh
14848486,Biba Women Yellow Printed Regular Kurta with Palazzos & With Dupatta,4995.0,Yellow,Biba
19324666,FASHOR Women Red Ethnic Motifs Thread Work Kurta,2899.0,Red,FASHOR
15177320,Ode by House of Pataudi Women Pink Cotton Floral Printed Rozana Fit & flare Kurta,1499.0,Pink,Ode by House of Pataudi
13415752,AHIKA Women Red Solid Mandarin Collar Kurta,1737.0,Red,AHIKA
11113624,Popnetic Women Beige & Green Printed Kurta with Palazzos,2499.0,Beige,Popnetic
19240202,Charu Women Maroon Embroidered Viscose Rayon Straight Kurta,3199.0,Maroon,Charu
18198284,Biba Women Navy Blue & White Ethnic Motifs Printed Indigo Kurta with Dupatta,1799.0,Navy Blue,Biba
18704432,Soch Women Rust Geometric Printed Gotta Patti Kurta,1998.0,Rust,Soch
19066150,Sangria Women White & Blue Ethnic Motifs Embroidered Thread Work Kurta,2299.0,White,Sangria
18130248,Ojjasvi Women White Geometric Lace Kurta,1499.0,White,Ojjasvi
13932856,anayna Women White & Pink Printed Kurta with Palazzos,2999.0,White,anayna
14531374,Varanga Women Teal Panelled Kurta with Trousers & With Dupatta,4999.0,Teal,Varanga
16362840,House of Pataudi Women Off White Pure Cotton Kurta with Trousers & With Dupatta,3499.0,Off White,House of Pataudi
10935118,ANAISA Criss-Cross Screen Print Gotta Kurta Set,2219.0,White,ANAISA
16907804,Libas Women Blue Paisley Yoke Design Gotta Patti Pastels Kurta,1899.0,Blue,Libas
13895534,Inddus Women Purple Solid Kurta with Trousers & Dupatta,5999.0,Purple,Inddus
13596472,AHIKA Women Off-White & Green Printed Kurta with Palazzos,2398.0,Off White,AHIKA
12135222,Anouk Women Rust Orange & Beige Printed Straight Kurta,1299.0,Rust,Anouk
14482494,Vishudh Women Brown Ethnic Motifs Kurta,1199.0,Brown,Vishudh
18874642,KALINI Women White Ethnic Motifs Thread Work Floral Anarkali Kurta,3599.0,White,KALINI
17445574,Vishudh Women Blue Floral Embroidered Thread Work Cotton Kurta,1149.0,Blue,Vishudh
17455814,Anouk Women Mustard Yellow Ethnic Motifs Printed Pure Cotton Kurta with Trousers,1699.0,Mustard,Anouk
17263086,KALINI Women White & Green Floral Printed Pure Cotton Kurta With Patiala & Dupatta,3499.0,White,KALINI
18686204,KARAJ JAIPUR Women Blue Embroidered Chanderi Cotton Kurta with Churidar & With Dupatta,4495.0,Blue,KARAJ JAIPUR
13237590,Anouk Women Pink Solid Kurta Set,2299.0,Pink,Anouk
7344664,Varanga Women Pink & Grey Printed Anarkali Kurta,3699.0,Pink,Varanga
19207138,Prakhya Women Blue Floral Printed Kurta with Trousers & With Dupatta,4498.0,Blue,Prakhya
17090142,Anouk Women Pink Solid Kurta with Trousers,3399.0,Pink,Anouk
14602198,Libas Women Blue Layered Chanderi Silk Kurta with Palazzos & With Dupatta,9999.0,Blue,Libas
13238184,Anouk Women White & Pink Cotton Ethnic Motifs Printed Straight Kurta with Pockets,1899.0,White,Anouk
